client_id,client_name,client_segment,country,risk_rating,status,aum_usd,onboarded_date,last_review_date,email,lei
CLI0000001,Aurora Asset Management,WHOLESALE,CH,HIGH,ACTIVE,19428775.08,2018-06-19,2026-01-17,ops@aurora.example,AC32VL4YT6YVX0LW4DA7
CLI0000002,Baltic Advisors,INSTITUTIONAL,GB,MEDIUM,ACTIVE,167338679.89,2020-02-18,2026-02-02,ops@baltic.example,LOHAGWAHZUIIY3M8CR0U
CLI0000003,Cedar Wealth,INSTITUTIONAL,IN,HIGH,ACTIVE,251017996.98,2017-10-19,2026-02-02,ops@cedar.example,SOGZ57372K55DEAPUM1M
CLI0000004,Delta Advisors,INSTITUTIONAL,FR,LOW,ACTIVE,115928961.42,2019-09-04,2026-02-18,ops@delta.example,ZANAHHOJS0MPD9V0X7HA
CLI0000005,Ember Holdings,INSTITUTIONAL,NL,HIGH,ACTIVE,255608717.95,2022-02-18,2026-01-19,ops@ember.example,JTV0Q6NZG77LGB2WVMT7
CLI0000006,Fjord Capital,WHOLESALE,AE,HIGH,ACTIVE,212744292.20,2022-08-19,2026-02-12,ops@fjord.example,AAW01OHR227V7U6BGB3W
CLI0000007,Granite Trust,WHOLESALE,US,HIGH,ACTIVE,311958272.68,2018-10-10,2026-02-11,ops@granite.example,SKFN6ORULNAHCPRIAN57
CLI0000008,Harbour Group,RETAIL,NL,LOW,ACTIVE,47332143.41,2023-03-25,2026-02-05,ops@harbour.example,FL6POYRK66E8R54FUD42
CLI0000009,Ivory Group,PRIVATE_WEALTH,DE,HIGH,ACTIVE,31158878.41,2022-06-23,2026-02-20,ops@ivory.example,S8GL59LALEXH4LWDQYK4
CLI0000010,Juniper Group,PRIVATE_WEALTH,GB,LOW,ACTIVE,377879076.31,2024-12-22,2026-01-02,ops@juniper.example,SFPGRJGYRNYXMBD5YBZJ
CLI0000011,Kestrel Trust,PRIVATE_WEALTH,SG,HIGH,ACTIVE,154390282.01,2022-01-15,2026-02-06,ops@kestrel.example,WS609OT83V9FR7J8Z1T6
CLI0000012,Lantern Wealth,INSTITUTIONAL,AE,LOW,ACTIVE,87376924.99,2021-03-24,2026-01-13,ops@lantern.example,PX85ZSIOO57V0VMACKOY
CLI0000013,Meridian Investments,PRIVATE_WEALTH,GB,LOW,ACTIVE,179741057.89,2021-03-27,2026-02-28,ops@meridian.example,FLL2R5F066GAKYVNBEEY
CLI0000014,Northwind Fund Services,RETAIL,CH,MEDIUM,ACTIVE,273127296.99,2023-04-05,2026-01-06,ops@northwind.example,T0IN2H9DCDYDP7DX7VO0
CLI0000015,Orchard Holdings,WHOLESALE,IN,LOW,ACTIVE,194046896.61,2019-05-10,2026-01-05,ops@orchard.example,34D6D7DSYQWCO7HA3KOU
CLI0000016,Pinnacle Investments,RETAIL,NL,HIGH,ACTIVE,127526439.04,2019-12-28,2026-01-15,ops@pinnacle.example,Q67CSPBEVYO92ACD2YRU
CLI0000017,Quarry Fund Services,PRIVATE_WEALTH,CH,MEDIUM,ACTIVE,157720711.99,2024-11-13,2026-01-07,ops@quarry.example,I8S6OJPGJOT1FACX0M28
CLI0000018,Ridgeline Partners,WHOLESALE,AE,LOW,ACTIVE,44078130.60,2017-02-01,2026-01-18,ops@ridgeline.example,TFSWGOKJ83M52FPR6F31
CLI0000019,Summit Partners,RETAIL,NL,LOW,ACTIVE,28237792.59,2020-10-13,2026-01-21,ops@summit.example,HAS13MF2IK73PP4Z8HF2
CLI0000020,Tundra Trust,RETAIL,NL,MEDIUM,ACTIVE,189723687.12,2018-08-15,2026-02-16,ops@tundra.example,M56HVIZGTT0N4O1RKO73
CLI0000021,Umbra Trust,INSTITUTIONAL,US,LOW,ACTIVE,299899607.31,2021-08-27,2026-01-17,ops@umbra.example,XXWHCBA3GAK7E8SON6U9
CLI0000022,Vantage Capital,WHOLESALE,FR,MEDIUM,ACTIVE,58743423.25,2017-09-10,2026-01-23,ops@vantage.example,I1BA5W0E75OWOAFY5Y6E
CLI0000023,Westgate Trust,RETAIL,US,MEDIUM,ACTIVE,308802530.81,2022-11-08,2026-01-26,ops@westgate.example,P2USU9IJPS4ZZYJIVMXG
CLI0000024,Yarrow Advisors,PRIVATE_WEALTH,IN,LOW,ACTIVE,207113373.05,2022-12-01,2026-01-26,ops@yarrow.example,0ALNDVJ0F0M5WE07GXTY
CLI0000025,Zephyr Trust,PRIVATE_WEALTH,SG,LOW,ACTIVE,277045674.05,2022-08-26,2026-02-12,ops@zephyr.example,KXZZGZUD2BVLH8BW9TW3
CLI0000026,Alder Partners,WHOLESALE,GB,LOW,ACTIVE,188095583.30,2022-04-16,2026-01-16,ops@alder.example,C7S8I8EMTU75EBPJ5YB1
CLI0000027,Bramble Asset Management,INSTITUTIONAL,GB,MEDIUM,ACTIVE,312947277.29,2020-08-06,2026-02-26,ops@bramble.example,8Z3BX39Z36YWTHFB4C8V
CLI0000028,Cobalt Asset Management,INSTITUTIONAL,CH,MEDIUM,ACTIVE,160626560.73,2018-12-06,2026-01-05,ops@cobalt.example,HPJ21XO6C81NZ6Q616LL
CLI0000029,Dunmore Capital,WHOLESALE,NL,MEDIUM,ACTIVE,322624012.58,2019-10-27,2026-02-22,ops@dunmore.example,UCDOD5B6ZZ0XY1IZ31FA
CLI0000030,Elmwood Asset Management,WHOLESALE,FR,HIGH,ACTIVE,52497822.74,2017-12-21,2026-01-17,ops@elmwood.example,NUHXTE2S7EGXEJKY061Y
CLI0000031,Foxglove Holdings,PRIVATE_WEALTH,IN,LOW,ACTIVE,11314131.00,2020-05-17,2026-01-25,ops@foxglove.example,VY16K90EQOFRAGQW4BLI
CLI0000032,Gallery Wealth,RETAIL,SG,HIGH,ACTIVE,167674739.60,2019-01-24,2026-02-15,ops@gallery.example,6IS1DSAYVRR16QB2Z6NN
CLI0000033,Hawthorn Wealth,PRIVATE_WEALTH,FR,LOW,ACTIVE,212786165.98,2017-08-25,2026-01-20,ops@hawthorn.example,Z7FN8QX8C3ERIN94F7AM
CLI0000034,Inlet Capital,WHOLESALE,US,LOW,ACTIVE,189460353.83,2018-09-02,2026-02-22,ops@inlet.example,4NS1R290B8A8FRXKOI64
CLI0000035,Jasper Fund Services,PRIVATE_WEALTH,GB,HIGH,ACTIVE,22842209.30,2020-05-02,2026-01-17,ops@jasper.example,OU87BVBBL4LGFCA73GY4
CLI0000036,Aurora Group,INSTITUTIONAL,GB,MEDIUM,ACTIVE,130326381.31,2020-12-09,2026-02-17,ops@aurora.example,0VHCVC3W83K5S5P43VSQ
CLI0000037,Baltic Fund Services,PRIVATE_WEALTH,FR,LOW,ACTIVE,279723246.73,2021-09-07,2026-02-05,ops@baltic.example,T5Z9EYVHVRC3MH3DY6RS
CLI0000038,Cedar Investments,INSTITUTIONAL,CH,MEDIUM,ACTIVE,126474000.11,2020-07-03,2026-01-22,ops@cedar.example,JSY66NZ2X47U0DYVK13L
CLI0000039,Delta Trust,INSTITUTIONAL,US,HIGH,ACTIVE,257425984.55,2022-03-09,2026-01-15,ops@delta.example,6UODV9U7OIXMOSJJYJYR
CLI0000040,Ember Advisors,INSTITUTIONAL,CH,MEDIUM,ACTIVE,65218533.01,2020-03-23,2026-02-17,ops@ember.example,9IC7JVEA3I2KCTLK9VX9
CLI0000041,,RETAIL,IN,MEDIUM,ACTIVE,125000.00,2023-01-10,2025-12-05,c41@example.com,MRBYGPRH84K8RDKD6933
CLI0000042,Fjord Investments,RETAIL,NL,LOW,ACTIVE,-45000.00,2022-07-15,2026-01-02,fjord@example.com,43SGDG3IM2S2MPSQUC19
CLI0000043,Granite Asset Management,PRIVATE_BANKING,CH,MEDIUM,ACTIVE,22400000.00,2020-11-11,2026-01-25,info@granite.example,32YWV16HJQCNKEG8HKAD
CLI0000044,Harbour Group,WHOLESALE,SG,EXTREME,ACTIVE,17800000.00,2021-03-08,2026-02-10,harbour@example.com,3INY0YC9YSGBIZ5MT9I1
CLI0000045,Ivory Partners,INSTITUTIONAL,US,LOW,ACTIVE,98000000.00,2028-05-01,2026-01-18,ivory@example.com,J1325RLPAPTFJ4IFADXI
CLI0000046,Lantern Advisors,PRIVATE_WEALTH,AE,HIGH,ACTIVE,,2022-05-19,2026-01-28,lantern@example.com,061Q09IGU7EPOZGB4B39
CLI-0047,Meridian Trust,INSTITUTIONAL,FR,LOW,ACTIVE,7600000.00,2021-12-01,2026-01-11,meridian@example.com,T9QFZWA9QWE9DYS2OF5M
CLI0000048,Northwind Fund,RETAIL,US,LOW,ACTIVE,890000.00,2023-04-04,2020-01-01,northwind@example.com,SB8XG6GV25J9WS461YQO
CLI0000049,Orchard Wealth,WHOLESALE,DE,MEDIUM,ACTIVE,41300000.00,2020-02-14,2026-01-09,not-an-email,BEN5HLNY7E4VREP3UJUX
CLI0000050,Pinnacle Trust,RETAIL,GB,LOW,ACTIVE,640000.00,2019-08-22,2026-01-14,pinnacle@example.com,5299TOOSHORT
CLI0000051,Quarry Capital,INSTITUTIONAL,LU,LOW,ACTIVE,54000000.00,2018-10-02,2026-02-03,quarry@example.com,
CLI0000003,Cedar Wealth,INSTITUTIONAL,IN,HIGH,ACTIVE,251017996.98,2017-10-19,2026-02-02,ops@cedar.example,SOGZ57372K55DEAPUM1M
